ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,city,state,zipcode,zipext,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
30989,3113,Central Shenandoah Planning District Commission,CSPDC,,Active,Reduced Reporter,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2016,10/31/2016,112 MacTanly Place,,,Staunton,VA,24401,,3,http://www.cspdc.org/,7224,45640000,25,"48,119",461,"Staunton-Waynesboro, VA",,"56,611","1,485",38,,,7,7,,
30990,,Airport Corridor Transportation Association,ACTA,,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,9/30/2016,1/31/2017,Robinson Plaza Two,Suite 420,,Pittsburgh,PA,15205,,3,www.acta-pgh.org,,956134423,28,"23,335",27,"Pittsburgh, PA",,"1,733,853","1,916",905,N,,3,3,,
40001,4001,Chattanooga Area Regional Transportation Authority,CARTA,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1617 Wilcox Boulevard,,,Chattanooga,TN,37406,,4,http://www.gocarta.org/,1120,66717307,289,"167,674",100,"Chattanooga, TN-GA",,"381,112","1,270",300,Y,77,3,80,,
40002,4002,Knoxville Area Transit,KAT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,301 Church Avenue,,,Knoxville,TN,37915,2290,4,http://www.katbus.com/,1124,42453530,104,"185,291",74,"Knoxville, TN",,"558,696","1,275",438,Y,78,,78,,
40003,4003,Memphis Area Transit Authority,MATA,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1370 Levee Road,,,Memphis,TN,38108,,4,http://www.matatransit.com/,1125,151999422,319,"744,444",41,"Memphis, TN-MS-AR",,"1,060,061","2,132",497,Y,150,,150,,
40004,4004,Metropolitan Transit Authority,MTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,430 Myatt Drive,,,Nashville,TN,37115,,4,http://www.nashvillemta.org/,1809,961036126,484,"655,900",44,"Nashville-Davidson, TN",,"969,587","1,721",563,Y,210,50,260,,
40005,4005,ART (Asheville Redefines Transit),ART,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,360 West Haywood Street,,,Asheville,NC,28801,,4,http://www.ridetheart.com/,1057,71056451,45,"88,512",133,"Asheville, NC",,"280,648","1,060",265,Y,16,,16,,
40006,4006,Cape Fear Public Transportation Authority,Wave,Wave Transit,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,,,12630,Wilmington,NC,28405,130,4,http://www.wavetransit.com/,1066,603095733,200,"216,479",161,"Wilmington, NC",,"219,957","1,644",134,Y,18,25,43,,
40007,4007,Capital Area Transit,CAT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,4104 Poole Rd,,,Raleigh,NC,27610,2927,4,http://www.raleighnc.gov/transit/,1065,44379568,125,"347,729",50,"Raleigh, NC",,"884,891","1,708",518,,65,233,298,,
40008,4008,Charlotte Area Transit System,CATS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,600 East Fourth Street,,,Charlotte,NC,28202,2858,4,http://www.ridetransit.org/,1111,71064166,688,"1,098,944",38,"Charlotte, NC-SC",,"1,249,442","1,685",741,Y,421,,421,,
40009,4009,Fayetteville Area System of Transit,FAST,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,455 Grove Street,,,Fayetteville,NC,28301,,4,http://www.ridefast.net/,1112,40031700,95,"150,131",122,"Fayetteville, NC",,"310,282","1,567",198,Y,39,1,40,,
40010,4010,City of Gastonia,,Gastonia Transit,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,700 N Broad St,,1748,Gastonia,NC,28053,,4,www.cityofgastonia.com,1063,74497249,45,"73,209",200,"Gastonia, NC-SC",,"169,495","1,223",139,Y,9,,9,,
40011,4011,High Point Transit,Hi tran,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,716 West Martin Luther King Jr Drive,,,High Point,NC,27262,6811,4,http://www.highpointnc.gov/hi-tran/,1064,71581938,95,"111,967",202,"High Point, NC",,"166,485","1,473",113,,19,,19,,
40012,4012,Winston-Salem Transit Authority - Trans-Aid of Forsyth County,WSTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1060 North Trade Street,,,Winston-Salem,NC,27101,,4,http://www.wstransit.com/,1114,71807056,108,"199,555",95,"Winston-Salem, NC",,"391,024","1,212",323,Y,66,,66,,
40014,4014,Ms Coast Transportation Authority,CTA,Coast Transit Authority,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,333 DeBuys Road,,,Gulfport,MS,39507,3893,4,http://www.CoastTransit.com/,1107,79461851,80,"109,258",175,"Gulfport, MS",,"208,948","1,270",165,Y,32,40,72,,
40015,4015,"City of Jackson, Department of Planning and Development, Transit Services Division",JATRAN,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,1785 Highway 80 West,,,Jackson,MS,39204,,4,http://www.jacksonms.gov/jatran,1109,831756247,104,"171,943",107,"Jackson, MS",,"351,478","1,450",242,Y,,27,27,,
40016,4016,Ashland Bus System,ABS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,99 15th Street,,1839,Ashland,KY,41105,1839,4,http://ashlandky.gov/index.php/departments/ashland-bus-system/,1399,72667603,17,"23,540",178,"Huntington, WV-KY-OH",,"202,637","1,555",130,,10,,10,,
40017,4017,Lexington Transit Authority,LexTran,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,109 West Loudon Avenue,,,Lexington,KY,40508,,4,http://www.lextran.com/,1104,79660197,284,"295,803",131,"Lexington-Fayette, KY",,"290,263","3,316",88,Y,54,54,108,,
40018,4018,Transit Authority of River City,TARC,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1000 West Broadway,,,Louisville,KY,40203,,4,http://www.ridetarc.org/,1105,71329635,357,"806,893",43,"Louisville/Jefferson County, KY-IN",,"972,546","2,040",477,Y,174,142,316,,
40019,4019,Transit Authority of Northern Kentucky,TANK,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,3375 Madison Pike,,,Fort Wright,KY,41017,9657,4,http://www.tankbus.org/,2613,60905023,267,"278,653",30,"Cincinnati, OH-KY-IN",,"1,624,827","2,063",788,Y,113,,113,,
40020,4020,Owensboro Transit System,OTS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,430 Allen Street,,10003,Owensboro,KY,42302,9003,4,http://www.owensboro.org/,1106,781717020,19,"57,265",391,"Owensboro, KY",,"70,543","2,086",34,,9,,9,,
40021,4021,Albany Transit System,ATS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,712 Flint Avenue,,,Albany,GA,31701,,4,http://www.albany.ga.us/ats/ats/,1002,956064182,17,"75,616",309,"Albany, GA",,"95,779","1,352",71,Y,14,,14,,
40022,4022,Metropolitan Atlanta Rapid Transit Authority,MARTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,"2424 Piedmont Road, N.E.",,,Atlanta,GA,30324,3330,4,http://www.itsmarta.com/,1101,64500903,573,"1,559,652",9,"Atlanta, GA",,"4,515,419","1,707","2,645",Y,842,169,"1,011",,
40023,4023,Augusta Richmond County Transit Department,APT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,1535 Fenwick Street,,,Augusta,GA,30904,3727,4,http://www.augustaga.gov/,2016,73438418,25,"201,793",98,"Augusta-Richmond County, GA-SC",,"386,787","1,490",260,Y,,19,19,,
40024,4024,"Metra Transit System (Columbus, GA)",Metra,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,814 Linwood Boulevard,,,Columbus,GA,31902,1340,4,http://www.columbusga.org/metra/,1046,37221327,132,"230,208",147,"Columbus, GA-AL",,"253,602","1,725",147,Y,23,,23,,
40025,4025,Chatham Area Transit Authority,CAT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,900 East Gwinnett Street,,9118,Savannah,GA,31401,9118,4,http://www.catchacat.org/,1103,75867689,438,"265,128",144,"Savannah, GA",,"260,677","1,575",165,Y,74,6,80,,
40026,4026,Manatee County Area Transit,MCAT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,"1108 26th Avenue, East",,,Bradenton,FL,34208,,4,http://www.mymanatee.org/,1079,930431937,743,"322,833",64,"Sarasota-Bradenton, FL",,"643,260","1,969",327,Y,45,,45,,
40027,4027,Pinellas Suncoast Transit Authority,PSTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,3201 Scherer Drive,,,St. Petersburg,FL,33716,,4,http://www.psta.net/,1080,809397102,333,"985,625",17,"Tampa-St. Petersburg, FL",,"2,441,770","2,552",957,Y,164,131,295,,
40028,4028,Lee County Transit,LeeTran,LeeTran,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,3401 Metro Parkway,,,Fort Myers,FL,33901,,4,http://www.rideleetran.com/,1083,13461611,130,"490,070",78,"Cape Coral, FL",,"530,290","1,605",330,Y,86,12,98,,
40029,4029,Broward County Transit Division,BCT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,1 N. University Drive,Suite 3100A,,Plantation,FL,33324,,4,http://www.broward.org/bct/,1082,66938358,410,"1,869,425",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,273,198,471,,
40030,4030,Gainesville Regional Transit System,RTS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,34 SE 13th RD,Station 5,490,Gainesville,FL,32601,,4,http://www.go-rts.com/,1084,10522159,76,"163,990",187,"Gainesville, FL",,"187,781","2,157",87,Y,108,35,143,,
40031,4031,Lakeland Area Mass Transit District,Citrus Connection,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,1212 George Jenkins Boulevard,,,Lakeland,FL,33815,,4,http://www.ridecitrus.com/,1086,5075627,77,"312,388",143,"Lakeland, FL",,"262,596","1,798",146,Y,61,,61,,
40032,4032,"County of Volusia, dba: VOTRAN",Votran,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,950 Big Tree Road,,,South Daytona,FL,32119,,4,http://www.votran.org/,1081,76875558,"1,207","494,593",109,"Palm Coast-Daytona Beach-Port Orange, FL",,"349,064","1,946",179,Y,103,30,133,,
40034,4034,Miami-Dade Transit,MDT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,701 NW 1st Court,17th Floor,,Miami,FL,33136,,4,http://www.miamidade.gov/transit/,1089,135722747,306,"2,496,435",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,816,365,"1,181",,
40035,4035,Central Florida Regional Transportation Authority,LYNX,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,455 North Garland Avenue,,,Orlando,FL,32801,1128,4,http://www.golynx.com/,1091,67849109,"2,540","2,134,411",32,"Orlando, FL",,"1,510,516","2,527",598,Y,263,318,581,,
40036,4036,City of Tallahassee,StarMetro ,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,555 Appleyard Drive,,,Tallahassee,FL,32304,,4,http://www.talgov.com/,1095,73245193,102,"162,310",153,"Tallahassee, FL",,"240,223","1,899",127,Y,86,,86,,
40037,4037,"Board of County Commissioners, Palm Beach County, PalmTran, Inc.",PalmTran,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,3201 Electronics Way,,,West Palm Beach,FL,33407,4618,4,http://www.palmtran.org/,1098,78470481,365,"1,268,782",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,130,294,424,,
40038,4038,Escambia County Area Transit,ECAT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,1515 West Fairfield Drive,,,Pensacola,FL,32501,1128,4,http://www.goecat.com/,1092,75079673,189,"241,661",113,"Pensacola, FL-AL",,"340,067","1,462",233,Y,,66,66,,
40040,4040,Jacksonville Transportation Authority,JTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,100 North Myrtle Avenue,,,Jacksonville,FL,32204,,4,http://www.jtafla.com/,1085,150201689,798,"1,021,375",40,"Jacksonville, FL",,"1,065,219","2,009",530,Y,155,89,244,,
40041,4041,Hillsborough Area Regional Transit Authority,HART,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,1201 E. 7th Avenue,,,Tampa,FL,33605,2311,4,http://www.gohart.org/,1096,21716816,255,"875,598",17,"Tampa-St. Petersburg, FL",,"2,441,770","2,552",957,Y,201,,201,,
40042,4042,Birmingham-Jefferson County Transit Authority,MAX,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,2121 Rev. Abraham Woods Jr. Blvd.,5th Floor,10212,Birmingham,AL,35203,,4,http://www.bjcta.org/,1073,126280635,152,"442,804",55,"Birmingham, AL",,"749,495","1,414",530,Y,100,,100,,
40043,4043,The Wave Transit System,WTS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,1224 West I-65 Service Road South,,,Mobile,AL,36609,1306,4,http://www.thewavetransit.com/,1076,10396687,92,"146,282",115,"Mobile, AL",,"326,183","1,464",223,Y,48,,48,,
40044,4044,City of Montgomery-Montgomery Area Transit System,MATS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,2318 West Fairview Avenue,,,Montgomery,AL,36108,4157,4,http://www.montgomerytransit.com/,1019,78961885,135,"205,764",142,"Montgomery, AL",,"263,907","1,718",154,Y,27,,27,,
40045,4045,Tuscaloosa County Parking and Transit Authority,TMT,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,601 23rd Avenue,,,Tuscaloosa,AL,35401,,4,http://www.tuscaloosatransit.com/,1078,147866248,171,"136,487",233,"Tuscaloosa, AL",,"139,114","1,554",90,Y,12,,12,,
40046,4046,Sarasota County Area Transit,SCAT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,5303 Pinkney Avenue,,,Sarasota,FL,34233,2421,4,http://www.scgov.net/scat/,1094,73192924,227,"404,312",64,"Sarasota-Bradenton, FL",,"643,260","1,969",327,Y,68,36,104,,
40047,4047,Athens Transit System,ATS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,775 E. Broad St.,,,Athens,GA,30601,,4,http://www.athenstransit.com/,,3646619,44,"119,980",249,"Athens-Clarke County, GA",,"128,754","1,309",98,Y,25,,25,,
40049,4049,Gadsden Transportation Services - City of Gadsden,GTS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,90 Broad Street,,267,Gadsden,AL,35902,267,4,http://www.gadsdendot.com/,1016,77650331,37,"61,709",426,"Gadsden, AL",,"64,172",891,72,Y,12,,12,,
40051,4051,Chapel Hill Transit,CHT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,"405 Martin Luther King, Jr. Blvd.",,,Chapel Hill,NC,27514,5705,4,http://www.chtransit.org/,1110,75563783,62,"80,218",110,"Durham, NC",,"347,602","1,913",182,Y,96,,96,,
40053,4053,Greenville Transit Authority,GTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,100 W. McBee Ave,,2207,Greenville,SC,29601,,4,http://www.ridegreenlink.com/,1118,83423509,97,"188,991",93,"Greenville, SC",,"400,492","1,251",320,Y,20,,20,,
40054,4054,Johnson City Transit System,JCT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,137 West Market Street,,,Johnson City,TN,37604,,4,http://www.johnsoncitytransit.org/,1123,79018230,44,"61,630",259,"Johnson City, TN",,"120,415","1,096",110,,27,,27,,
40055,4055,Bristol Tennessee Transit System,BTTS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,104 8th Street,,1189,Bristol,TN,37621,1189,4,http://www.bristoltn.org/,1119,30687321,33,"26,702",397,"Bristol-Bristol, TN-VA",,"69,501","1,088",64,Y,7,,7,,
40056,4056,Pee Dee Regional Transportation Authority,PDRTA,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,313 Stadium Road,,,Florence,SC,29506,,4,http://www.pdrta.org/,1117,80763907,"1,865","242,174",325,"Florence, SC",,"89,557","1,261",71,Y,23,,23,,
40057,4057,Jackson Transit Authority,JTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,38 Eutah Street,,102,Jackson,TN,38301,,4,http://www.ridejta.com/,1122,84791359,48,"67,265",385,"Jackson, TN",,"71,880","1,406",51,Y,15,,15,,
40058,4058,City of Rome Transit Department,RTD,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,168 North Avenue,,1433,Rome,GA,30161,1433,4,http://www.romefloyd.com/EnrichingLife/Transit/tabid/105/Default.aspx/,2897,75863951,32,"36,323",444,"Rome, GA",,"60,851","1,277",48,Y,37,,37,,
40060,4060,Hub City Transit,HCT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,City of Hattiesburg,,1898,Hattiesburg,MS,39403,1898,4,http://www.hattiesburgms.com/,1108,79448130,43,"51,084",357,"Hattiesburg, MS",,"80,358","1,165",69,Y,7,,7,,
40063,4063,Space Coast Area Transit,SCAT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,401 South Varr Avenue,,,Cocoa,FL,32922,,4,http://www.ridescat.com/,1029,783248370,262,"568,701",84,"Palm Bay-Melbourne, FL",,"452,791","1,952",232,Y,56,96,152,,
