ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,mode,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,city,state,zipcode,zipext,P.O. Box,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
30107,3107,West Virginia University - Morgantown Personal Rapid Transit,,,Active,Full Reporter,Full Reporter,University, ,,,6/30/2015,10/31/2015,99 8th Street,,Morgantown,WV,26506,6565,6565,3,http://transportation.wvu.edu/prt/,1468,191510239,12,"60,037",393,"Morgantown, WV",,"70,350","1,876",37,N,64,,64,,
30108,3108,Cecil County Government - SSCT,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,200 Chesapeake Blvd,Suite 2500,Elkton,MD,21921,,21921,3,http://www.ceciltransit.com/,,69375921,346,"102,383",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",Y,24,,24,,
30109,3109,St. Mary's Transit System -Dept. of Public Works and Transit,STS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,44829 St. Andrews Church Rd,,California ,MD,20619,,409,3,http://www.stmarysmd.com/,,24708633,41,"48,284",451,"Lexington Park-California-Chesapeake Ranch Estates, MD",,"58,875","1,179",50,Y,16,,16,,
30111,3111,Washington County Transportation Authority,,Freedom Transit,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,50 E Chestnut Street,,Washington,PA,15301,,,3,www.freedom-transit.org,,830208075,861,"207,820",27,"Pittsburgh, PA",,"1,733,853","1,916",905,N,,58,58,,
30112,3112,DDOT - Progressive Transportation Services Administration,,,Active,Full Reporter,Full Reporter,State Government Unit or Department of Transportation, ,,,9/30/2015,1/31/2016,55 M Street Southeast,Suite 500,Washington,DC,20003,3522,,3,http://ddot.dc.gov,1397,3880940,24,"317,779",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,50,50,,
30137,3R04-012,Monroe County Transportation  Authority,MCTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,,,Scotrun,PA,18355,,339,3,www.gomcta.com,,168463441,610,"166,314",472,"East Stroudsburg, PA-NJ",,"54,316","1,043",52,Y,35,5,40,,
30198,,Suffolk Transit,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,442 W. Washington Street,,Suffolk,VA,23439,,1858,3,http://www.suffolkva.us/pub_wks/transit/,0,66024845,73,"66,465",34,"Virginia Beach, VA",,"1,439,666","2,793",515,N,,8,8,,
30199,,New River Transit Authority,NRT,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,360 Prince Street,,Beckley,WV,25801,,,3,http://www.newrivertransitauthority.org/,0,79451646,61,"62,637",430,"Beckley, WV",,"64,022","1,050",61,Y,,11,11,,
30200,,City of Radford,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,10 Robertson Street,,Radford,VA,24141,,,3,www.radfordva.gov,7261,81762312,10,"18,368",328,"Blacksburg, VA",,"88,542","1,729",51,Y,18,,18,,
30989,3113,Central Shenandoah Planning District Commission,CSPDC,,Active,Reduced Reporter,Reduced Reporter,"MPO, COG or Other Planning Agency", ,,,6/30/2015,10/31/2015,112 MacTanly Place,,Staunton,VA,24401,,,3,http://www.cspdc.org/,7224,45640000,25,"48,119",461,"Staunton-Waynesboro, VA",,"56,611","1,485",38,Y,,8,8,,
30990,,Airport Corridor Transportation Association,ACTA,,Active,Reduced Reporter,Reduced Reporter,Private-Non-Profit Corporation, ,,,9/30/2015,1/31/2016,Robinson Plaza Two,Suite 420,Pittsburgh,PA,15205,,,3,www.acta-pgh.org,,956134423,28,"23,335",27,"Pittsburgh, PA",,"1,733,853","1,916",905,N,,3,3,,
40001,4001,Chattanooga Area Regional Transportation Authority,CARTA,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1617 Wilcox Boulevard,,Chattanooga,TN,37406,,,4,http://www.gocarta.org/,1120,66717307,289,"167,674",100,"Chattanooga, TN-GA",,"381,112","1,270",300,Y,68,3,71,,
40002,4002,Knoxville Area Transit,KAT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,301 Church Avenue,,Knoxville,TN,37915,2290,,4,http://www.katbus.com/,1124,42453530,104,"184,292",74,"Knoxville, TN",,"558,696","1,275",438,Y,80,,80,,
40003,4003,Memphis Area Transit Authority,MATA,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1370 Levee Road,,Memphis,TN,38108,,,4,http://www.matatransit.com/,1125,151999422,338,"755,141",41,"Memphis, TN-MS-AR",,"1,060,061","2,132",497,Y,150,,150,,
40004,4004,Metropolitan Transit Authority,MTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,430 Myatt Drive,,Nashville,TN,37115,,,4,http://www.nashvillemta.org/,1809,961036126,484,"655,900",44,"Nashville-Davidson, TN",,"969,587","1,721",563,Y,206,63,269,,
40005,4005,ART (Asheville Redefines Transit),ART,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,360 West Haywood Street,,Asheville,NC,28801,,,4,http://www.ridetheart.com/,1057,71056451,45,"83,393",133,"Asheville, NC",,"280,648","1,060",265,Y,16,,16,,
40006,4006,Cape Fear Public Transportation Authority,Wave,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,,,Wilmington,NC,28405,130,12630,4,http://www.wavetransit.com/,1066,603095733,200,"216,479",161,"Wilmington, NC",,"219,957","1,644",134,Y,19,25,44,,
40007,4007,Capital Area Transit,CAT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,4104 Poole Rd,,Raleigh,NC,27610,2927,,4,http://www.raleighnc.gov/transit/,1065,44379568,125,"347,729",50,"Raleigh, NC",,"884,891","1,708",518,Y,65,233,298,,
40008,4008,Charlotte Area Transit System,CATS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,600 East Fourth Street,,Charlotte,NC,28202,2858,,4,http://www.ridetransit.org/,1111,71064166,688,"1,098,944",38,"Charlotte, NC-SC",,"1,249,442","1,685",741,Y,431,,431,,
40009,4009,Fayetteville Area System of Transit,FAST,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,455 Grove Street,,Fayetteville,NC,28301,,,4,http://www.ridefast.net/,1112,40031700,95,"150,131",122,"Fayetteville, NC",,"310,282","1,567",198,Y,38,,38,,
40010,4R06-082,City of Gastonia,,Gastonia Transit,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,700 N Broad St,,Gastonia,NC,28054,,1748,4,www.cityofgastonia.com,1063,74497249,45,"73,209",200,"Gastonia, NC-SC",,"169,495","1,223",139,Y,9,,9,,
40011,4011,High Point Transit,Hi tran,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,716 West Kivett Drive,,High Point,NC,27262,6811,,4,http://www.highpointnc.gov/hi-tran/,1064,71581938,55,"110,638",202,"High Point, NC",,"166,485","1,473",113,Y,19,,19,,
40012,4012,Winston-Salem Transit Authority - Trans-Aid of Forsyth County,WSTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1060 North Trade Street,,Winston-Salem,NC,27101,,,4,http://www.wstransit.com/,1114,71807056,108,"199,555",95,"Winston-Salem, NC",,"391,024","1,212",323,Y,59,,59,,
40014,4014,Ms Coast Transportation Authority,CTA,Coast Transit Authority,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,1/31/2016,333 DeBuys Road,,Gulfport,MS,39507,3893,,4,http://www.CoastTransit.com/,1107,79461851,87,"113,806",175,"Gulfport, MS",,"208,948","1,270",165,Y,32,44,76,,
40015,4015,"City of Jackson, Department of Planning and Development, Transit Services Division ",JATRAN,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,1785 Highway 80 West,,Jackson,MS,39204,,,4,http://www.jacksonms.gov/jatran,1109,831756247,104,"173,514",107,"Jackson, MS",,"351,478","1,450",242,Y,,30,30,,
40016,4016,Ashland Bus System,ABS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,99 15th Street,,Ashland,KY,41105,1839,1839,4,http://ashlandky.gov/index.php/departments/ashland-bus-system/,1399,72667603,17,"23,540",178,"Huntington, WV-KY-OH",,"202,637","1,555",130,Y,10,,10,,
40017,4017,Lexington Transit Authority,LexTran,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,109 West Loudon Avenue,,Lexington,KY,40508,,,4,http://www.lextran.com/,1104,79660197,284,"295,803",131,"Lexington-Fayette, KY",,"290,263","3,316",88,Y,54,66,120,,
40018,4018,Transit Authority of River City,TARC,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1000 West Broadway,,Louisville,KY,40203,,,4,http://www.ridetarc.org/,1105,71329635,357,"806,893",43,"Louisville/Jefferson County, KY-IN",,"972,546","2,040",477,Y,176,139,315,,
40019,4019,Transit Authority of Northern Kentucky,TANK,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,3375 Madison Pike,,Fort Wright,KY,41017,9657,,4,http://www.tankbus.org/,2613,60905023,267,"278,653",30,"Cincinnati, OH-KY-IN",,"1,624,827","2,063",788,Y,109,,109,,
40020,4020,Owensboro Transit System,OTS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,430 Allen Street,,Owensboro,KY,42302,9003,10003,4,http://www.owensboro.org/,1106,781717020,19,"57,265",391,"Owensboro, KY",,"70,543","2,086",34,Y,9,3,12,,
40021,4021,Albany Transit System,ATS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,712 Flint Avenue,,Albany,GA,31701,,,4,http://www.albany.ga.us/ats/ats/,1002,956064182,17,"75,616",309,"Albany, GA",,"95,779","1,352",71,Y,14,,14,,
40022,4022,Metropolitan Atlanta Rapid Transit Authority,MARTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,"2424 Piedmont Road, N.E.",,Atlanta,GA,30324,3330,,4,http://www.itsmarta.com/,1101,64500903,504,"1,373,958",9,"Atlanta, GA",,"4,515,419","1,707","2,645",Y,838,,838,,
40023,4023,Augusta Richmond County Transit Department,APT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,1535 Fenwick Street,,Augusta,GA,30904,3727,,4,http://www.augustaga.gov/,2016,73438418,25,"201,793",98,"Augusta-Richmond County, GA-SC",,"386,787","1,490",260,Y,,19,19,,
40024,4024,"Metra Transit System (Columbus, GA)",Metra,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,814 Linwood Boulevard,,Columbus,GA,31902,1340,,4,http://www.columbusga.org/metra/,1046,37221327,132,"230,208",147,"Columbus, GA-AL",,"253,602","1,725",147,Y,23,,23,,
40025,4025,Chatham Area Transit Authority,CAT,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,900 East Gwinnett Street,,Savannah,GA,31401,9118,9118,4,http://www.catchacat.org/,1103,75867689,438,"265,128",144,"Savannah, GA",,"260,677","1,575",165,Y,73,3,76,,
40026,4026,Manatee County Area Transit,MCAT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,"1108 26th Avenue, East",,Bradenton,FL,34208,,,4,http://www.mymanatee.org/,1079,930431937,743,"322,833",64,"Sarasota-Bradenton, FL",,"643,260","1,969",327,Y,45,,45,,
40027,4027,Pinellas Suncoast Transit Authority,PSTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,1/31/2016,3201 Scherer Drive,,St. Petersburg,FL,33716,,,4,http://www.psta.net/,1080,809397102,348,"944,553",17,"Tampa-St. Petersburg, FL",,"2,441,770","2,552",957,Y,167,141,308,,
40028,4028,Lee County Transit,LeeTran,LeeTran,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,3401 Metro Parkway,,Fort Myers,FL,33901,,,4,http://www.rideleetran.com/,1083,13461611,130,"479,489",78,"Cape Coral, FL",,"530,290","1,605",330,Y,85,19,104,,
40029,4029,Broward County Transit Division,BCT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,1 N. University Drive,Suite 3100A,Plantation,FL,33324,,,4,http://www.broward.org/bct/,1082,66938358,410,"1,869,235",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,274,200,474,,
40030,4030,Gainesville Regional Transit System,RTS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,34 SE 13th RD,"P.O. Box 490, Station 5",Gainesville,FL,32601,,490,4,http://www.go-rts.com/,1084,10522159,76,"163,990",187,"Gainesville, FL",,"187,781","2,157",87,Y,107,35,142,,
40031,4031,Lakeland Area Mass Transit District ,Citrus Connection,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,1/31/2016,1212 George Jenkins Boulevard,,Lakeland,FL,33815,,,4,http://www.ridecitrus.com/,1086,5075627,77,"312,388",143,"Lakeland, FL",,"262,596","1,798",146,Y,38,,38,,
40032,4032,"County of Volusia, dba: VOTRAN",Votran,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,950 Big Tree Road,,South Daytona,FL,32119,,,4,http://www.votran.org/,1081,76875558,"1,207","494,593",109,"Palm Coast-Daytona Beach-Port Orange, FL",,"349,064","1,946",179,Y,98,27,125,,
40034,4034,Miami-Dade Transit,MDT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,701 NW 1st Court,17th Floor,Miami,FL,33136,,,4,http://www.miamidade.gov/transit/,1089,135722747,306,"2,496,435",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,775,354,"1,129",,
40035,4035,Central Florida Regional Transportation Authority,LYNX,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,1/31/2016,455 North Garland Avenue,,Orlando,FL,32801,1128,,4,http://www.golynx.com/,1091,67849109,"2,540","2,005,728",32,"Orlando, FL",,"1,510,516","2,527",598,Y,250,310,560,,
40036,4036,City of Tallahassee,StarMetro ,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,555 Appleyard Drive,,Tallahassee,FL,32304,,,4,http://www.talgov.com/,1095,73245193,102,"162,310",153,"Tallahassee, FL",,"240,223","1,899",127,Y,84,,84,,
40037,4037,"Board of County Commissioners, Palm Beach County, PalmTran, Inc.",PalmTran,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,3201 Electronics Way,,West Palm Beach,FL,33407,4618,,4,http://www.palmtran.org/,1098,78470481,365,"1,268,782",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,131,319,450,,
40038,4038,Escambia County Area Transit,ECAT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,1515 West Fairfield Drive,,Pensacola,FL,32501,1128,,4,http://www.goecat.com/,1092,75079673,233,"341,765",113,"Pensacola, FL-AL",,"340,067","1,462",233,Y,,61,61,,
40040,4040,Jacksonville Transportation Authority,JTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,1/31/2016,100 North Myrtle Avenue,,Jacksonville,FL,32204,,,4,http://www.jtafla.com/,1085,150201689,798,"1,001,311",40,"Jacksonville, FL",,"1,065,219","2,009",530,Y,155,91,246,,
40041,4041,Hillsborough Area Regional Transit Authority,HART,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,1/31/2016,1201 E. 7th Avenue,,Tampa,FL,33605,2311,,4,http://www.gohart.org/,1096,21716816,255,"875,598",17,"Tampa-St. Petersburg, FL",,"2,441,770","2,552",957,Y,201,,201,,
40042,4042,Birmingham-Jefferson County Transit Authority,MAX,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,1/31/2016,2121 Rev. Abraham Woods Jr. Blvd.,5th Floor,Birmingham,AL,35203,,10212,4,http://www.bjcta.org/,1073,126280635,152,"442,804",55,"Birmingham, AL",,"749,495","1,414",530,Y,93,,93,,
40043,4043,The Wave Transit System,WTS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,1224 West I-65 Service Road South,,Mobile,AL,36609,1306,,4,http://www.thewavetransit.com/,1076,10396687,117,"227,566",115,"Mobile, AL",,"326,183","1,464",223,Y,48,,48,,
40044,4044,City of Montgomery-Montgomery Area Transit System,MATS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,2318 West Fairview Avenue,,Montgomery,AL,36108,4157,,4,http://www.montgomerytransit.com/,1019,78961885,135,"205,764",142,"Montgomery, AL",,"263,907","1,718",154,Y,27,,27,,
40045,4045,Tuscaloosa County Parking and Transit Authority,TMT,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,1/31/2016,601 23rd Avenue,,Tuscaloosa,AL,35401,,,4,http://www.tuscaloosatransit.com/,1078,147866248,171,"136,487",233,"Tuscaloosa, AL",,"139,114","1,554",90,Y,12,,12,,
40046,4046,Sarasota County Area Transit,SCAT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,5303 Pinkney Avenue,,Sarasota,FL,34233,2421,,4,http://www.scgov.net/scat/,1094,73192924,227,"393,807",64,"Sarasota-Bradenton, FL",,"643,260","1,969",327,Y,64,36,100,,
40047,4047,Athens Transit System,ATS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,775 E. Broad St.,,Athens,GA,30601,,,4,http://www.athenstransit.com/,,3646619,44,"119,980",249,"Athens-Clarke County, GA",,"128,754","1,309",98,Y,25,,25,,
